{'epoch': 1, 'loss': '0.08043578', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.867, 'AdvAcc': 0.923, 'RAvAcc': 0.864, 'classifier': 'ModelB_FV500', 'best_acc': 0.864}
{'epoch': 2, 'loss': '0.09737705', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.859, 'AdvAcc': 0.92, 'RAvAcc': 0.846, 'classifier': 'ModelB_FV500', 'best_acc': 0.864}
{'epoch': 3, 'loss': '0.07970922', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.984, 'RecAcc': 0.861, 'AdvAcc': 0.921, 'RAvAcc': 0.857, 'classifier': 'ModelB_FV500', 'best_acc': 0.864}
{'epoch': 4, 'loss': '0.09516426', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.809, 'AdvAcc': 0.922, 'RAvAcc': 0.806, 'classifier': 'ModelB_FV500', 'best_acc': 0.864}
{'epoch': 5, 'loss': '0.08032299', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.857, 'AdvAcc': 0.925, 'RAvAcc': 0.853, 'classifier': 'ModelB_FV500', 'best_acc': 0.864}
{'epoch': 6, 'loss': '0.07731635', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.873, 'AdvAcc': 0.92, 'RAvAcc': 0.863, 'classifier': 'ModelB_FV500', 'best_acc': 0.864}
{'epoch': 7, 'loss': '0.09797658', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.806, 'AdvAcc': 0.922, 'RAvAcc': 0.799, 'classifier': 'ModelB_FV500', 'best_acc': 0.864}
{'epoch': 8, 'loss': '0.08939864', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.855, 'AdvAcc': 0.922, 'RAvAcc': 0.845, 'classifier': 'ModelB_FV500', 'best_acc': 0.864}
{'epoch': 9, 'loss': '0.08120365', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.984, 'RecAcc': 0.873, 'AdvAcc': 0.924, 'RAvAcc': 0.865, 'classifier': 'ModelB_FV500', 'best_acc': 0.865}
{'epoch': 10, 'loss': '0.07786755', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.869, 'AdvAcc': 0.922, 'RAvAcc': 0.866, 'classifier': 'ModelB_FV500', 'best_acc': 0.866}
{'epoch': 11, 'loss': '0.07854313', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.871, 'AdvAcc': 0.923, 'RAvAcc': 0.873, 'classifier': 'ModelB_FV500', 'best_acc': 0.873}
{'epoch': 12, 'loss': '0.07920681', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.876, 'AdvAcc': 0.924, 'RAvAcc': 0.869, 'classifier': 'ModelB_FV500', 'best_acc': 0.873}
