{'epoch': 1, 'loss': '0.25569621', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.005, 'AdvAcc': 0.316, 'RAvAcc': 0.005, 'best_acc': 0.005}
{'epoch': 2, 'loss': '0.16979928', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.009, 'AdvAcc': 0.316, 'RAvAcc': 0.009, 'best_acc': 0.009}
{'epoch': 3, 'loss': '0.07758794', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.009, 'AdvAcc': 0.316, 'RAvAcc': 0.009, 'best_acc': 0.009}
{'epoch': 4, 'loss': '0.07212149', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.009, 'AdvAcc': 0.316, 'RAvAcc': 0.009, 'best_acc': 0.009}
{'epoch': 5, 'loss': '0.07050593', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.009, 'AdvAcc': 0.316, 'RAvAcc': 0.009, 'best_acc': 0.009}
{'epoch': 6, 'loss': '0.05714074', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.018, 'AdvAcc': 0.316, 'RAvAcc': 0.018, 'best_acc': 0.018}
{'epoch': 7, 'loss': '0.05221411', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.009, 'AdvAcc': 0.316, 'RAvAcc': 0.009, 'best_acc': 0.018}
{'epoch': 8, 'loss': '0.03810214', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.014, 'AdvAcc': 0.316, 'RAvAcc': 0.014, 'best_acc': 0.018}
{'epoch': 9, 'loss': '0.04720465', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.009, 'AdvAcc': 0.316, 'RAvAcc': 0.009, 'best_acc': 0.018}
{'epoch': 10, 'loss': '0.06173211', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.009, 'AdvAcc': 0.316, 'RAvAcc': 0.009, 'best_acc': 0.018}
{'epoch': 11, 'loss': '0.03764784', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.014, 'AdvAcc': 0.316, 'RAvAcc': 0.011, 'best_acc': 0.018}
{'epoch': 12, 'loss': '0.02831143', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.014, 'AdvAcc': 0.316, 'RAvAcc': 0.014, 'best_acc': 0.018}
{'epoch': 13, 'loss': '0.05941780', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.009, 'AdvAcc': 0.316, 'RAvAcc': 0.009, 'best_acc': 0.018}
{'epoch': 14, 'loss': '0.03430817', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.009, 'AdvAcc': 0.316, 'RAvAcc': 0.009, 'best_acc': 0.018}
{'epoch': 15, 'loss': '0.02941785', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.009, 'AdvAcc': 0.316, 'RAvAcc': 0.009, 'best_acc': 0.018}
{'epoch': 16, 'loss': '0.02645363', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.011, 'AdvAcc': 0.316, 'RAvAcc': 0.011, 'best_acc': 0.018}
{'epoch': 17, 'loss': '0.02417829', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.014, 'AdvAcc': 0.316, 'RAvAcc': 0.014, 'best_acc': 0.018}
{'epoch': 18, 'loss': '0.02287713', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.014, 'AdvAcc': 0.316, 'RAvAcc': 0.014, 'best_acc': 0.018}
{'epoch': 19, 'loss': '0.02498000', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.011, 'AdvAcc': 0.316, 'RAvAcc': 0.011, 'best_acc': 0.018}
{'epoch': 20, 'loss': '0.02285841', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.02, 'AdvAcc': 0.316, 'RAvAcc': 0.018, 'best_acc': 0.018}
