{'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.882, 'RecAcc': 0.626, 'AdvAcc': 0.767, 'RAvAcc': 0.622}
{'attacktype': 'FGSM', 'eps': 0.05, 'NorAcc': 0.882, 'RecAcc': 0.626, 'AdvAcc': 0.515, 'RAvAcc': 0.585}
{'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.882, 'RecAcc': 0.626, 'AdvAcc': 0.663, 'RAvAcc': 0.581}
{'attacktype': 'PGD', 'eps': 0.05, 'NorAcc': 0.882, 'RecAcc': 0.626, 'AdvAcc': 0.511, 'RAvAcc': 0.553}
{'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.833, 'AdvAcc': 0.82, 'RAvAcc': 0.802}
{'attacktype': 'FGSM', 'eps': 0.05, 'NorAcc': 0.983, 'RecAcc': 0.833, 'AdvAcc': 0.6, 'RAvAcc': 0.764}
{'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.833, 'AdvAcc': 0.792, 'RAvAcc': 0.798}
{'attacktype': 'PGD', 'eps': 0.05, 'NorAcc': 0.983, 'RecAcc': 0.833, 'AdvAcc': 0.573, 'RAvAcc': 0.764}
{'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.997, 'RecAcc': 0.631, 'AdvAcc': 0.572, 'RAvAcc': 0.627}
{'attacktype': 'FGSM', 'eps': 0.05, 'NorAcc': 0.997, 'RecAcc': 0.631, 'AdvAcc': 0.321, 'RAvAcc': 0.602}
{'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.997, 'RecAcc': 0.631, 'AdvAcc': 0.331, 'RAvAcc': 0.617}
{'attacktype': 'PGD', 'eps': 0.05, 'NorAcc': 0.997, 'RecAcc': 0.631, 'AdvAcc': 0.073, 'RAvAcc': 0.607}
{'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.996, 'RecAcc': 0.798, 'AdvAcc': 0.617, 'RAvAcc': 0.736}
{'attacktype': 'FGSM', 'eps': 0.05, 'NorAcc': 0.996, 'RecAcc': 0.798, 'AdvAcc': 0.371, 'RAvAcc': 0.661}
{'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.996, 'RecAcc': 0.798, 'AdvAcc': 0.613, 'RAvAcc': 0.747}
{'attacktype': 'PGD', 'eps': 0.05, 'NorAcc': 0.996, 'RecAcc': 0.798, 'AdvAcc': 0.366, 'RAvAcc': 0.725}
