{'epoch': 1, 'loss': '326.87658691', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.003, 'AdvAcc': 0.921, 'RAvAcc': 0.002, 'classifier': 'ModelB_FV500', 'best_acc': 0.002}
{'epoch': 2, 'loss': '282.68893433', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.004, 'AdvAcc': 0.925, 'RAvAcc': 0.004, 'classifier': 'ModelB_FV500', 'best_acc': 0.004}
{'epoch': 3, 'loss': '274.38220215', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.985, 'RecAcc': 0.004, 'AdvAcc': 0.924, 'RAvAcc': 0.004, 'classifier': 'ModelB_FV500', 'best_acc': 0.004}
{'epoch': 4, 'loss': '270.33578491', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.004, 'AdvAcc': 0.923, 'RAvAcc': 0.004, 'classifier': 'ModelB_FV500', 'best_acc': 0.004}
{'epoch': 5, 'loss': '267.88616943', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.005, 'AdvAcc': 0.927, 'RAvAcc': 0.003, 'classifier': 'ModelB_FV500', 'best_acc': 0.004}
{'epoch': 6, 'loss': '265.75976562', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.004, 'AdvAcc': 0.92, 'RAvAcc': 0.002, 'classifier': 'ModelB_FV500', 'best_acc': 0.004}
{'epoch': 7, 'loss': '263.10549927', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.003, 'AdvAcc': 0.921, 'RAvAcc': 0.002, 'classifier': 'ModelB_FV500', 'best_acc': 0.004}
{'epoch': 8, 'loss': '261.83438110', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.004, 'AdvAcc': 0.919, 'RAvAcc': 0.003, 'classifier': 'ModelB_FV500', 'best_acc': 0.004}
{'epoch': 9, 'loss': '261.52761841', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.004, 'AdvAcc': 0.924, 'RAvAcc': 0.004, 'classifier': 'ModelB_FV500', 'best_acc': 0.004}
{'epoch': 10, 'loss': '260.35415649', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.004, 'AdvAcc': 0.922, 'RAvAcc': 0.004, 'classifier': 'ModelB_FV500', 'best_acc': 0.004}
{'epoch': 11, 'loss': '259.35049438', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.984, 'RecAcc': 0.004, 'AdvAcc': 0.922, 'RAvAcc': 0.004, 'classifier': 'ModelB_FV500', 'best_acc': 0.004}
{'epoch': 12, 'loss': '258.77612305', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.005, 'AdvAcc': 0.924, 'RAvAcc': 0.004, 'classifier': 'ModelB_FV500', 'best_acc': 0.004}
{'epoch': 13, 'loss': '257.85946655', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.004, 'AdvAcc': 0.925, 'RAvAcc': 0.004, 'classifier': 'ModelB_FV500', 'best_acc': 0.004}
{'epoch': 14, 'loss': '257.29388428', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.004, 'AdvAcc': 0.923, 'RAvAcc': 0.004, 'classifier': 'ModelB_FV500', 'best_acc': 0.004}
{'epoch': 15, 'loss': '257.24319458', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.004, 'AdvAcc': 0.92, 'RAvAcc': 0.006, 'classifier': 'ModelB_FV500', 'best_acc': 0.006}
{'epoch': 16, 'loss': '256.12991333', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.005, 'AdvAcc': 0.926, 'RAvAcc': 0.004, 'classifier': 'ModelB_FV500', 'best_acc': 0.006}
{'epoch': 17, 'loss': '252.88482666', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.004, 'AdvAcc': 0.924, 'RAvAcc': 0.004, 'classifier': 'ModelB_FV500', 'best_acc': 0.006}
{'epoch': 18, 'loss': '186.18621826', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.005, 'AdvAcc': 0.921, 'RAvAcc': 0.004, 'classifier': 'ModelB_FV500', 'best_acc': 0.006}
{'epoch': 19, 'loss': '141.63069153', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.005, 'AdvAcc': 0.921, 'RAvAcc': 0.005, 'classifier': 'ModelB_FV500', 'best_acc': 0.006}
{'epoch': 20, 'loss': '128.57275391', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.004, 'AdvAcc': 0.922, 'RAvAcc': 0.005, 'classifier': 'ModelB_FV500', 'best_acc': 0.006}
{'epoch': 21, 'loss': '116.73841095', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.007, 'AdvAcc': 0.925, 'RAvAcc': 0.007, 'classifier': 'ModelB_FV500', 'best_acc': 0.007}
{'epoch': 22, 'loss': '109.71533966', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.981, 'RecAcc': 0.005, 'AdvAcc': 0.92, 'RAvAcc': 0.005, 'classifier': 'ModelB_FV500', 'best_acc': 0.007}
{'epoch': 23, 'loss': '108.05705261', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.004, 'AdvAcc': 0.919, 'RAvAcc': 0.005, 'classifier': 'ModelB_FV500', 'best_acc': 0.007}
{'epoch': 24, 'loss': '105.95596313', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.981, 'RecAcc': 0.005, 'AdvAcc': 0.925, 'RAvAcc': 0.006, 'classifier': 'ModelB_FV500', 'best_acc': 0.007}
{'epoch': 25, 'loss': '105.59999084', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.005, 'AdvAcc': 0.925, 'RAvAcc': 0.005, 'classifier': 'ModelB_FV500', 'best_acc': 0.007}
{'epoch': 26, 'loss': '105.43581390', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.981, 'RecAcc': 0.007, 'AdvAcc': 0.922, 'RAvAcc': 0.005, 'classifier': 'ModelB_FV500', 'best_acc': 0.007}
{'epoch': 27, 'loss': '104.51073456', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.005, 'AdvAcc': 0.921, 'RAvAcc': 0.006, 'classifier': 'ModelB_FV500', 'best_acc': 0.007}
{'epoch': 28, 'loss': '103.42554474', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.005, 'AdvAcc': 0.922, 'RAvAcc': 0.006, 'classifier': 'ModelB_FV500', 'best_acc': 0.007}
{'epoch': 29, 'loss': '103.52640533', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.005, 'AdvAcc': 0.929, 'RAvAcc': 0.005, 'classifier': 'ModelB_FV500', 'best_acc': 0.007}
{'epoch': 30, 'loss': '102.87003326', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.006, 'AdvAcc': 0.922, 'RAvAcc': 0.005, 'classifier': 'ModelB_FV500', 'best_acc': 0.007}
{'epoch': 31, 'loss': '102.85892487', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.004, 'AdvAcc': 0.924, 'RAvAcc': 0.004, 'classifier': 'ModelB_FV500', 'best_acc': 0.007}
{'epoch': 32, 'loss': '102.26430511', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.004, 'AdvAcc': 0.92, 'RAvAcc': 0.004, 'classifier': 'ModelB_FV500', 'best_acc': 0.007}
{'epoch': 33, 'loss': '101.65807343', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.005, 'AdvAcc': 0.924, 'RAvAcc': 0.006, 'classifier': 'ModelB_FV500', 'best_acc': 0.007}
{'epoch': 34, 'loss': '101.54208374', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.005, 'AdvAcc': 0.923, 'RAvAcc': 0.005, 'classifier': 'ModelB_FV500', 'best_acc': 0.007}
{'epoch': 35, 'loss': '101.47638702', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.984, 'RecAcc': 0.006, 'AdvAcc': 0.922, 'RAvAcc': 0.007, 'classifier': 'ModelB_FV500', 'best_acc': 0.007}
{'epoch': 36, 'loss': '100.95302582', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.007, 'AdvAcc': 0.924, 'RAvAcc': 0.007, 'classifier': 'ModelB_FV500', 'best_acc': 0.007}
{'epoch': 37, 'loss': '101.12300873', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.006, 'AdvAcc': 0.925, 'RAvAcc': 0.006, 'classifier': 'ModelB_FV500', 'best_acc': 0.007}
{'epoch': 38, 'loss': '100.90483093', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.006, 'AdvAcc': 0.922, 'RAvAcc': 0.006, 'classifier': 'ModelB_FV500', 'best_acc': 0.007}
{'epoch': 39, 'loss': '101.17047119', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.006, 'AdvAcc': 0.922, 'RAvAcc': 0.007, 'classifier': 'ModelB_FV500', 'best_acc': 0.007}
{'epoch': 40, 'loss': '100.62989044', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.981, 'RecAcc': 0.006, 'AdvAcc': 0.921, 'RAvAcc': 0.007, 'classifier': 'ModelB_FV500', 'best_acc': 0.007}
{'epoch': 41, 'loss': '100.53939056', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.009, 'AdvAcc': 0.926, 'RAvAcc': 0.01, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 42, 'loss': '100.17449188', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.007, 'AdvAcc': 0.924, 'RAvAcc': 0.005, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 43, 'loss': '100.46788025', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.007, 'AdvAcc': 0.921, 'RAvAcc': 0.009, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 44, 'loss': '100.08122253', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.006, 'AdvAcc': 0.922, 'RAvAcc': 0.007, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 45, 'loss': '99.88648224', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.007, 'AdvAcc': 0.921, 'RAvAcc': 0.009, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 46, 'loss': '99.69046021', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.005, 'AdvAcc': 0.919, 'RAvAcc': 0.006, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 47, 'loss': '99.46877289', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.984, 'RecAcc': 0.007, 'AdvAcc': 0.923, 'RAvAcc': 0.006, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 48, 'loss': '99.23177338', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.009, 'AdvAcc': 0.923, 'RAvAcc': 0.007, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 49, 'loss': '99.60309601', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.981, 'RecAcc': 0.007, 'AdvAcc': 0.922, 'RAvAcc': 0.006, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 50, 'loss': '99.18070221', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.006, 'AdvAcc': 0.923, 'RAvAcc': 0.007, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 51, 'loss': '98.73484039', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.007, 'AdvAcc': 0.924, 'RAvAcc': 0.004, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 52, 'loss': '98.72325134', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.008, 'AdvAcc': 0.923, 'RAvAcc': 0.008, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
{'epoch': 53, 'loss': '98.47375488', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.983, 'RecAcc': 0.007, 'AdvAcc': 0.922, 'RAvAcc': 0.005, 'classifier': 'ModelB_FV500', 'best_acc': 0.01}
