{'epoch': 1, 'loss': '5.07922792', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.007, 'AdvAcc': 0.786, 'RAvAcc': 0.011, 'classifier': 'ModelB_PV220', 'best_acc': 0.011}
{'epoch': 2, 'loss': '1.91712570', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.007, 'AdvAcc': 0.78, 'RAvAcc': 0.009, 'classifier': 'ModelB_PV220', 'best_acc': 0.011}
{'epoch': 3, 'loss': '1.59857070', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.007, 'AdvAcc': 0.775, 'RAvAcc': 0.009, 'classifier': 'ModelB_PV220', 'best_acc': 0.011}
{'epoch': 4, 'loss': '1.48659635', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.007, 'AdvAcc': 0.775, 'RAvAcc': 0.009, 'classifier': 'ModelB_PV220', 'best_acc': 0.011}
{'epoch': 5, 'loss': '1.40643966', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.011, 'AdvAcc': 0.784, 'RAvAcc': 0.011, 'classifier': 'ModelB_PV220', 'best_acc': 0.011}
{'epoch': 6, 'loss': '1.27468479', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.014, 'AdvAcc': 0.784, 'RAvAcc': 0.011, 'classifier': 'ModelB_PV220', 'best_acc': 0.011}
{'epoch': 7, 'loss': '1.17861593', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.023, 'AdvAcc': 0.78, 'RAvAcc': 0.03, 'classifier': 'ModelB_PV220', 'best_acc': 0.03}
{'epoch': 8, 'loss': '1.22208536', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.025, 'AdvAcc': 0.791, 'RAvAcc': 0.027, 'classifier': 'ModelB_PV220', 'best_acc': 0.03}
{'epoch': 9, 'loss': '1.12602901', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.027, 'AdvAcc': 0.791, 'RAvAcc': 0.032, 'classifier': 'ModelB_PV220', 'best_acc': 0.032}
{'epoch': 10, 'loss': '1.09139585', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.991, 'RecAcc': 0.018, 'AdvAcc': 0.786, 'RAvAcc': 0.025, 'classifier': 'ModelB_PV220', 'best_acc': 0.032}
{'epoch': 11, 'loss': '1.12121677', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.025, 'AdvAcc': 0.78, 'RAvAcc': 0.025, 'classifier': 'ModelB_PV220', 'best_acc': 0.032}
