{'epoch': 1, 'loss': '99.35664368', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.007, 'AdvAcc': 0.516, 'RAvAcc': 0.007, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.007}
{'epoch': 2, 'loss': '62.76460648', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.052, 'AdvAcc': 0.522, 'RAvAcc': 0.051, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.051}
{'epoch': 3, 'loss': '40.54566574', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.054, 'AdvAcc': 0.518, 'RAvAcc': 0.052, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.052}
{'epoch': 4, 'loss': '71.61476898', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.113, 'AdvAcc': 0.513, 'RAvAcc': 0.112, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.112}
{'epoch': 5, 'loss': '63.84552765', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.972, 'RecAcc': 0.051, 'AdvAcc': 0.517, 'RAvAcc': 0.051, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.112}
{'epoch': 6, 'loss': '165.78050232', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.08, 'AdvAcc': 0.51, 'RAvAcc': 0.08, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.112}
{'epoch': 7, 'loss': '33.19112778', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.02, 'AdvAcc': 0.515, 'RAvAcc': 0.021, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.112}
{'epoch': 8, 'loss': '59.13441086', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.972, 'RecAcc': 0.018, 'AdvAcc': 0.52, 'RAvAcc': 0.017, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.112}
{'epoch': 9, 'loss': '28.24084282', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.193, 'AdvAcc': 0.518, 'RAvAcc': 0.191, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.191}
{'epoch': 10, 'loss': '26.49390030', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.066, 'AdvAcc': 0.517, 'RAvAcc': 0.065, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.191}
{'epoch': 11, 'loss': '40.37447739', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.058, 'AdvAcc': 0.511, 'RAvAcc': 0.058, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.191}
{'epoch': 12, 'loss': '45.67171478', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.972, 'RecAcc': 0.029, 'AdvAcc': 0.515, 'RAvAcc': 0.029, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.191}
{'epoch': 13, 'loss': '20.89373589', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.134, 'AdvAcc': 0.514, 'RAvAcc': 0.141, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.191}
{'epoch': 14, 'loss': '12.03458405', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.275, 'AdvAcc': 0.514, 'RAvAcc': 0.274, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.274}
{'epoch': 15, 'loss': '8.22106457', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.968, 'RecAcc': 0.381, 'AdvAcc': 0.521, 'RAvAcc': 0.39, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.39}
{'epoch': 16, 'loss': '6.07845783', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.39, 'AdvAcc': 0.512, 'RAvAcc': 0.392, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.392}
{'epoch': 17, 'loss': '4.36867332', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.487, 'AdvAcc': 0.52, 'RAvAcc': 0.484, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.484}
{'epoch': 18, 'loss': '3.18087053', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.392, 'AdvAcc': 0.523, 'RAvAcc': 0.394, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.484}
{'epoch': 19, 'loss': '1.86910558', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.473, 'AdvAcc': 0.509, 'RAvAcc': 0.468, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.484}
{'epoch': 20, 'loss': '1.47598135', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.485, 'AdvAcc': 0.523, 'RAvAcc': 0.486, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.486}
{'epoch': 21, 'loss': '1.34987962', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.972, 'RecAcc': 0.542, 'AdvAcc': 0.515, 'RAvAcc': 0.535, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.535}
{'epoch': 22, 'loss': '1.23857653', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.53, 'AdvAcc': 0.521, 'RAvAcc': 0.53, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.535}
