{'epoch': 1, 'loss': '0.89377683', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.009, 'AdvAcc': 0.786, 'RAvAcc': 0.014, 'classifier': 'ModelB_PV220', 'best_acc': 0.014}
{'epoch': 2, 'loss': '6.29135847', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.025, 'AdvAcc': 0.784, 'RAvAcc': 0.023, 'classifier': 'ModelB_PV220', 'best_acc': 0.023}
{'epoch': 3, 'loss': '2.58810186', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.991, 'RecAcc': 0.066, 'AdvAcc': 0.773, 'RAvAcc': 0.07, 'classifier': 'ModelB_PV220', 'best_acc': 0.07}
{'epoch': 4, 'loss': '3.41577959', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.05, 'AdvAcc': 0.777, 'RAvAcc': 0.059, 'classifier': 'ModelB_PV220', 'best_acc': 0.07}
{'epoch': 5, 'loss': '59879.69921875', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.009, 'AdvAcc': 0.791, 'RAvAcc': 0.011, 'classifier': 'ModelB_PV220', 'best_acc': 0.07}
{'epoch': 6, 'loss': '1387.71398926', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.005, 'AdvAcc': 0.784, 'RAvAcc': 0.005, 'classifier': 'ModelB_PV220', 'best_acc': 0.07}
{'epoch': 7, 'loss': '8.25158119', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.03, 'AdvAcc': 0.78, 'RAvAcc': 0.034, 'classifier': 'ModelB_PV220', 'best_acc': 0.07}
{'epoch': 8, 'loss': '2.13203788', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.027, 'AdvAcc': 0.78, 'RAvAcc': 0.018, 'classifier': 'ModelB_PV220', 'best_acc': 0.07}
{'epoch': 9, 'loss': '3.90951276', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.014, 'AdvAcc': 0.782, 'RAvAcc': 0.016, 'classifier': 'ModelB_PV220', 'best_acc': 0.07}
{'epoch': 10, 'loss': '4.87175560', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.032, 'AdvAcc': 0.775, 'RAvAcc': 0.02, 'classifier': 'ModelB_PV220', 'best_acc': 0.07}
{'epoch': 11, 'loss': '2.57973576', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.023, 'AdvAcc': 0.777, 'RAvAcc': 0.023, 'classifier': 'ModelB_PV220', 'best_acc': 0.07}
{'epoch': 12, 'loss': '3.27736187', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.045, 'AdvAcc': 0.777, 'RAvAcc': 0.036, 'classifier': 'ModelB_PV220', 'best_acc': 0.07}
{'epoch': 13, 'loss': '2.06358242', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.991, 'RecAcc': 0.064, 'AdvAcc': 0.784, 'RAvAcc': 0.061, 'classifier': 'ModelB_PV220', 'best_acc': 0.07}
